id,sourceLang,targetLang,sourceString,targetString
1,en,es,1918 flu,La gripe de 1918
2,en,es,acute bronchitis,Bronquitis aguda
3,en,es,acute respiratory disease,enfermedades respiratorias agudas
4,en,es,AIDS,SIDA
5,en,es,airborne droplets,gotas suspendidas en el aire
6,en,es,airway,vía respiratoria
7,en,es,alcohol-based,a base de alcohol
8,en,es,alcohol-based hand rub,desinfectante de manos a base de alcohol
9,en,es,alcohol-based hand sanitizer,desinfectante de manos a base de alcohol
10,en,es,alveolar disease,enfermedad alveolar
11,en,es,an epidemic,una epidemia
12,en,es,annual flu,gripe anual
13,en,es,anti-inflammatory drug,antiinflamatorio
14,en,es,antiviral drug,antiviral
15,en,es,antiviral treatment,tratamiento antiviral
16,en,es,assay,ensayo
17,en,es,asymptomatic,asintomático
18,en,es,avian flu,gripe aviar
19,en,es,Black Plague,Peste negra
20,en,es,blood pressure,presión sanguínea
21,en,es,body fluid,fluido corporal
22,en,es,breathing,respiración
23,en,es,bubonic plague,peste bubónica
24,en,es,c19,c19
25,en,es,cv19,cv19
26,en,es,case fatality rate,tasa de letalidad
27,en,es,causative agent,agente causal
28,en,es,CDC,CDC
29,en,es,chemical disinfection,desinfección química
30,en,es,chest x-ray,radiografía de tórax
31,en,es,clinical diagnosis,diagnóstico clínico
32,en,es,clinical trial,ensayo clínico
33,en,es,close contact,contacto cercano
34,en,es,cvirus,cvirus
35,en,es,chronic respiratory disease,enfermedades respiratorias crónicas
36,en,es,common cold,resfriado común
37,en,es,common flu,gripe común
38,en,es,communicable disease,enfermedad infecciosa
39,en,es,community spread,propagación en la comunidad
40,en,es,community transmission,transmisión del virus en la comunidad
41,en,es,compromised immune system,sistema inmune comprometido
42,en,es,contagion,contagio
43,en,es,contagious,contagioso
44,en,es,contagiousness,contagioso
45,en,es,corona,corona
46,en,es,corona virus,corona virus
47,en,es,corona virus epidemic,epidemia de virus corona
48,en,es,corona virus outbreak,brote de virus corona
49,en,es,corona virus scare,posible corona virus
50,en,es,coronavirus,coronavirus
51,en,es,coronavirus cases,casos de coronavirus
52,en,es,coronavirus outbreak,brote de coronavirus
