id,sourceLang,targetLang,sourceString,targetString
1,en,fr,1918 flu,Grippe de 1918
2,en,fr,acute bronchitis,bronchite aiguë
3,en,fr,acute respiratory disease,maladie respiratoire aiguë
4,en,fr,AIDS,SIDA
5,en,fr,airborne droplets,Gouttelettes en suspension dans l'air
6,en,fr,airway,aérien
7,en,fr,alcohol-based,à base d'alcool
8,en,fr,alcohol-based hand rub,désinfectant pour les mains à base d'alcool
9,en,fr,alcohol-based hand sanitizer,désinfectant pour les mains à base d'alcool
10,en,fr,alveolar disease,maladie alvéolaire
11,en,fr,an epidemic,une épidémie
12,en,fr,annual flu,grippe annuelle
13,en,fr,anti-inflammatory drug,médicament anti-inflammatoire
14,en,fr,antiviral drug,médicament antiviral
15,en,fr,antiviral treatment,traitement antiviral
16,en,fr,assay,test
17,en,fr,asymptomatic,asymptomatique
18,en,fr,avian flu,grippe aviaire
19,en,fr,Black Plague,Peste noire
20,en,fr,blood pressure,tension artérielle
21,en,fr,body fluid,fluide corporel
22,en,fr,breathing,respiration
23,en,fr,bubonic plague,peste bubonique
24,en,fr,c19,c19
25,en,fr,cv19,cv19
26,en,fr,case fatality rate,taux de létalité
27,en,fr,causative agent,agent responsable
28,en,fr,CDC,CDC
29,en,fr,chemical disinfection,désinfection chimique
30,en,fr,chest x-ray,radiographie du thorax
31,en,fr,clinical diagnosis,diagnostic clinique
32,en,fr,clinical trial,essai clinique
33,en,fr,close contact,contact rapproché
34,en,fr,cvirus,virus c
35,en,fr,chronic respiratory disease,maladie respiratoire chronique
36,en,fr,common cold,rhume
37,en,fr,common flu,grippe ordinaire
38,en,fr,communicable disease,maladie transmissible
39,en,fr,community spread,propagation communautaire
40,en,fr,community transmission,transmission communautaire
41,en,fr,compromised immune system,système immunitaire affaibli
42,en,fr,contagion,contagion
43,en,fr,contagious,contagieux
44,en,fr,contagiousness,contagiosité
45,en,fr,corona,corona
46,en,fr,corona virus,coronavirus
47,en,fr,corona virus epidemic,épidémie du coronavirus
48,en,fr,corona virus outbreak,épidémie du coronavirus
49,en,fr,corona virus scare,peur du coronavirus
50,en,fr,coronavirus,coronavirus
51,en,fr,coronavirus cases,cas de coronavirus
52,en,fr,coronavirus outbreak,épidémie de coronavirus
53,en,fr,coronavirus pandemic,pandémie de coronavirus
54,en,fr,coronavirus scare,peur du coronavirus
55,en,fr,cough,toux
56,en,fr,cough etiquette,règles d'hygiène en cas de toux
57,en,fr,coughing,tousser
58,en,fr,cov 19,cov 19
59,en,fr,cov19,cov19
60,en,fr,COVID,COVID
61,en,fr,COVID-19 crisis,crise du COVID-19
62,en,fr,covid-19,covid-19
63,en,fr,covid19,covid19
64,en,fr,COVID-19 epidemic,épidémie de COVID-19
65,en,fr,COVID-19 outbreak,épidémie de COVID-19
66,en,fr,COVID-19 pandemic,pandémie de COVID-19
67,en,fr,COVID 19,COVID 19
68,en,fr,current crisis,crise actuelle
69,en,fr,current health crisis,crise sanitaire actuelle
70,en,fr,current outbreak,épidémie actuelle
71,en,fr,current pandemic,pandémie actuelle
72,en,fr,CV,CV
73,en,fr,CV-19,CV-19
74,en,fr,deadly,mortel
75,en,fr,deadly virus,virus mortel
76,en,fr,death rate,taux de mortalité
77,en,fr,death toll,nombre de décès
78,en,fr,decontaminate,décontaminer
79,en,fr,detectable,détectable
80,en,fr,detergent,détergent
81,en,fr,difficulty breathing,difficulté à respirer
82,en,fr,diabetes,diabète
83,en,fr,diagnosable disease,maladie diagnostiquable
84,en,fr,diagnostic protocol,protocole de diagnostic
85,en,fr,diagnostic testing,test de diagnostic
86,en,fr,disease itself,la maladie elle-même
87,en,fr,disease outbreak,épidémie
88,en,fr,disinfectant,désinfectant
89,en,fr,disposable,jetable
90,en,fr,droplet transmission,transmission par gouttelettes
91,en,fr,droplets,gouttelettes
92,en,fr,dry cough,toux sèche
93,en,fr,dry surface contamination,contamination de surface sèche
94,en,fr,ebola,Ebola
95,en,fr,effective treatment,traitement efficace
96,en,fr,electron microscope,microscope électronique
97,en,fr,emergency department,service d'urgence
98,en,fr,epidemic,épidémie
99,en,fr,epidemic curve,courbe épidémique
100,en,fr,epidemic peak,pic épidémique
101,en,fr,epidemiologist,épidémiologiste
102,en,fr,exposure,exposition
103,en,fr,extreme caution,extrême prudence
104,en,fr,eye protection,protection des yeux
105,en,fr,face mask,masque facial
106,en,fr,face masks,masques faciaux
107,en,fr,family cluster,regroupement familial
108,en,fr,fatality rate,taux de mortalité
109,en,fr,fecal contamination,contamination fécale
110,en,fr,fever,fièvre
111,en,fr,flatten the infection curve,aplatir la courbe d'infection
112,en,fr,flu,grippe
113,en,fr,food safety,sécurité alimentaire
114,en,fr,formaldehyde,formaldéhyde
115,en,fr,gastroenteritis,gastro-entérite
116,en,fr,germicide,germicide
117,en,fr,global pandemic,pandémie mondiale
118,en,fr,global warming,réchauffement climatique
119,en,fr,good respiratory hygiene,bonne hygiène respiratoire
120,en,fr,Guangdong,Guangdong
121,en,fr,H1N1,H1N1
122,en,fr,H1N1 virus,virus H1N1
123,en,fr,hand disinfectant,désinfectant pour les mains
124,en,fr,hand sanitizer,désinfectant pour les mains
125,en,fr,health care provider,prestataire de soins
126,en,fr,health crisis,crise sanitaire
127,en,fr,health plan carrier,assurance maladie
128,en,fr,health services,services de santé
129,en,fr,heart failure,insuffisance cardiaque
130,en,fr,high fever,forte fièvre
131,en,fr,HIV,VIH
132,en,fr,hospitalize,hospitaliser
133,en,fr,household bleach,eau de Javel domestique
134,en,fr,Hubei,Hubei
135,en,fr,hydrogen peroxide,peroxyde d'hydrogène
136,en,fr,hygiene,hygiène
137,en,fr,immune system,système immunitaire
138,en,fr,immunity,immunité
139,en,fr,immunocompromised,immunodéprimé
140,en,fr,immunologist,immunologiste
141,en,fr,incubation,incubation
142,en,fr,incubation period,période d'incubation
143,en,fr,indirect contact,contact indirect
144,en,fr,infect,infecter
145,en,fr,infection,infection
146,en,fr,infectious,infectieux
147,en,fr,infectivity,infectivité
148,en,fr,influenza,grippe
149,en,fr,initial transmission event,événement de transmission initial
150,en,fr,intensive care equipment,équipement de soins intensifs
151,en,fr,intermediate host,hôte intermédiaire
152,en,fr,intrauterine,intra-utérin
153,en,fr,intubation,intubation
154,en,fr,isolation,isolation
155,en,fr,Isopropanol,Isopropanol
156,en,fr,laboratory test kit,kit de test en laboratoire
157,en,fr,laboratory testing,test en laboratoire
