id,sourceLang,targetLang,sourceString,targetString
1,en,pt,1918 flu,gripe de 1918
2,en,pt,acute bronchitis,bronquite aguda
3,en,pt,acute respiratory disease,doença respiratória aguda
4,en,pt,AIDS,SIDA
5,en,pt,airborne droplets,gotículas suspensas no ar
6,en,pt,airway,vias respiratórias
7,en,pt,alcohol-based,à base de álcool
8,en,pt,alcohol-based hand rub,toalhetes para as mãos à base de álcool
9,en,pt,alcohol-based hand sanitizer,desinfetante para as mãos à base de álcool
10,en,pt,alveolar disease,doença alveolar
11,en,pt,an epidemic,uma epidemia
12,en,pt,annual flu,gripe anual
13,en,pt,anti-inflammatory drug,medicamento anti-inflamatório
14,en,pt,antiviral drug,medicamento antiviral
15,en,pt,antiviral treatment,tratamento antiviral
16,en,pt,assay,análise
17,en,pt,asymptomatic,assintomático
18,en,pt,avian flu,gripe das aves
19,en,pt,Black Plague,Peste Negra
20,en,pt,blood pressure,tensão arterial
21,en,pt,body fluid,fluido corporal
22,en,pt,breathing,respiração
23,en,pt,bubonic plague,peste bubónica
24,en,pt,c19,c19
25,en,pt,cv19,cv19
26,en,pt,case fatality rate,taxa de mortalidade de casos
27,en,pt,causative agent,agente causador
28,en,pt,CDC,CDC
29,en,pt,chemical disinfection,desinfeção química
30,en,pt,chest x-ray,raio X ao tórax
31,en,pt,clinical diagnosis,diagnóstico clínico
32,en,pt,clinical trial,triagem clínica
33,en,pt,close contact,contacto estreito
34,en,pt,cvirus,cvírus (coronavírus)
35,en,pt,chronic respiratory disease,doença respiratória crónica
36,en,pt,common cold,constipação comum
37,en,pt,common flu,gripe comum
38,en,pt,communicable disease,doença transmissível
39,en,pt,community spread,propagação na comunidade
40,en,pt,community transmission,transmissão na comunidade
41,en,pt,compromised immune system,sistema imunitário comprometido
42,en,pt,contagion,contágio
43,en,pt,contagious,contagioso(a)
44,en,pt,contagiousness,contagiosidade
45,en,pt,corona,corona
46,en,pt,corona virus,coronavírus
47,en,pt,corona virus epidemic,epidemia de coronavírus
48,en,pt,corona virus outbreak,surto de coronavírus
49,en,pt,corona virus scare,medo do coronavírus
50,en,pt,coronavirus,coronavírus
51,en,pt,coronavirus cases,casos de coronavírus
52,en,pt,coronavirus outbreak,surto de coronavírus
53,en,pt,coronavirus pandemic,pandemia de coronavírus
54,en,pt,coronavirus scare,medo do coronavírus
55,en,pt,cough,tosse
56,en,pt,cough etiquette,protocolo para a tosse
57,en,pt,coughing,tossir
58,en,pt,cov 19,cov 19
59,en,pt,cov19,cov19
60,en,pt,COVID,COVID
61,en,pt,COVID-19 crisis,crise da COVID-19
62,en,pt,covid-19,covid-19
63,en,pt,covid19,covid19
64,en,pt,COVID-19 epidemic,epidemia da COVID-19
65,en,pt,COVID-19 outbreak,surto da COVID-19
66,en,pt,COVID-19 pandemic,pandemia da COVID-19
67,en,pt,COVID 19,COVID 19
68,en,pt,current crisis,crise atual
69,en,pt,current health crisis,crise de saúde atual
70,en,pt,current outbreak,surto atual
71,en,pt,current pandemic,pandemia atual
72,en,pt,CV,CV
73,en,pt,CV-19,CV-19
74,en,pt,deadly,mortal
75,en,pt,deadly virus,vírus mortal
76,en,pt,death rate,taxa de mortalidade
77,en,pt,death toll,números da mortalidade
78,en,pt,decontaminate,descontaminar
79,en,pt,detectable,detetável
80,en,pt,detergent,detergente
81,en,pt,difficulty breathing,dificuldade respiratória
82,en,pt,diabetes,diabetes
83,en,pt,diagnosable disease,doença diagnosticável
84,en,pt,diagnostic protocol,protocolo de diagnóstico
85,en,pt,diagnostic testing,testes de diagnóstico
86,en,pt,disease itself,a própria doença
87,en,pt,disease outbreak,surto da doença
88,en,pt,disinfectant,desinfetante
89,en,pt,disposable,descartável
90,en,pt,droplet transmission,transmissão por gotículas
91,en,pt,droplets,gotículas
92,en,pt,dry cough,tosse seca
93,en,pt,dry surface contamination,contaminação da superfície seca
94,en,pt,ebola,ébola
95,en,pt,effective treatment,tratamento eficaz
96,en,pt,electron microscope,microscópio eletrónico
97,en,pt,emergency department,departamento de emergência
98,en,pt,epidemic,epidemia
99,en,pt,epidemic curve,curva epidémica
100,en,pt,epidemic peak,pico epidémico
101,en,pt,epidemiologist,epidemiologista
102,en,pt,exposure,exposição
103,en,pt,extreme caution,cuidado extremo
104,en,pt,eye protection,proteção dos olhos
105,en,pt,face mask,máscara facial
106,en,pt,face masks,máscaras faciais
107,en,pt,family cluster,agrupamento familiar
108,en,pt,fatality rate,taxa de mortalidade
109,en,pt,fecal contamination,contaminação fecal
110,en,pt,fever,febre
111,en,pt,flatten the infection curve,achatar a curva de infeção
112,en,pt,flu,gripe
113,en,pt,food safety,segurança alimentar
114,en,pt,formaldehyde,formaldeído
115,en,pt,gastroenteritis,gastroenterite
116,en,pt,germicide,germicida
117,en,pt,global pandemic,pandemia global
118,en,pt,global warming,aquecimento global
119,en,pt,good respiratory hygiene,boa higiene respiratória
120,en,pt,Guangdong,Cantão
121,en,pt,H1N1,H1N1
122,en,pt,H1N1 virus,Gripe A subtipo H1N1
123,en,pt,hand disinfectant,desinfetante para as mãos
124,en,pt,hand sanitizer,antissético para as mãos
125,en,pt,health care provider,prestador de cuidados de saúde
126,en,pt,health crisis,crise de saúde
127,en,pt,health plan carrier,operadora de plano de saúde
