stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_1,ar,en,,,جائحة,pandemic
xx_2,ar,en,,,متلازمة الشرق الأوسط التنفسية,Middle East respiratory syndrome
xx_3,ar,en,,,فحوص مختبرية,laboratory tests
xx_4,ar,en,,,تحليل مصلي,serological analysis
xx_5,ar,en,,,حمض نووي فيروسي,viral nucleic acid
xx_6,ar,en,,,تجارب سريرية,clinical trials
xx_7,ar,en,,,تطور فيروس كورونا,development coronavirus
xx_8,ar,en,,,مستجدات فيروس كورونا,updates coronavirus
xx_9,ar,en,,,أعراض الإصابة بفيروس كورونا,symptoms of infection with coronavirus
xx_10,ar,en,,,حالات الشفاء,recovery cases
xx_11,ar,en,,,لمس العينين والفم والأنف,"touching eyes, mouth and nose"
xx_12,ar,en,,,التدابير الوقائية من كورونا,protective measures against corona
xx_13,ar,en,,,التحديث اليومي للحالات,daily update of cases
xx_14,ar,en,,,الرصد والتقصي,monitoring and investigation
xx_15,ar,en,,,حالات مشتبه بإصابتها,suspected cases of infection
xx_16,ar,en,,,الإغلاق الإلزامي,mandatory closure
xx_17,ar,en,,,تعليق الرحلات,suspension of journeys
xx_18,ar,en,,,إلغاء الرحلات,cancellation of journeys
xx_19,ar,en,,,قيود على السفر,limitations on travel
xx_20,ar,en,,,حظر السفر,travel ban
xx_21,ar,en,,,عالقين,stranded
xx_22,ar,en,,,إلغاء الحجز,cancellation of reservation
xx_23,ar,en,,,الحالات المخالطة,affected cases
xx_24,ar,en,,,عزل,isolation
xx_25,ar,en,,,مراكز العزل,isolation centers
xx_26,ar,en,,,فيروس كورونا المستجد,novel coronavirus
xx_27,ar,en,,,رذاذ,spray
xx_28,ar,en,,,سعال,cough
xx_29,ar,en,,,عطس,sneezing
xx_30,ar,en,,,كمامة,mask
xx_31,ar,en,,,مخالطة,contact
xx_32,ar,en,,,مطهر يدين,hand sanitizer
xx_33,ar,en,,,وقاية,protection
xx_34,ar,en,,,صعوبة في التنفس,difficulty breathing
xx_35,ar,en,,,قطيرات,droplets
xx_36,ar,en,,,إخلاء,evacuation
xx_38,ar,en,,,حظر التجوال,curfew
xx_39,ar,en,,,بؤرة,epicenter
xx_40,ar,en,,,وفيات كورونا,corona fatalities
xx_41,ar,en,,,تباعد اجتماعي,social distancing
xx_42,ar,en,,,عزل ذاتي,self-isolation
xx_43,ar,en,,,إحصائيات,statistics
xx_44,ar,en,,,نسبة الشفاء,recovery rate
xx_45,ar,en,,,احتواء الفيروس,containment of the virus
xx_46,ar,en,,,ضيق التنفس,shortness of breath
xx_47,ar,en,,,تعقيم,sterilization
xx_48,ar,en,,,تطهير,disinfection
xx_49,ar,en,,,تفشي كوفيد,covid spread
xx_50,ar,en,,,إصابات جديدة بكورونا,new coronavirus cases
xx_51,bn,en,,,কোভিড-১৯: দেশে মৃত্যু,Covid-19: deaths in the country
xx_52,bn,en,,,কোভিড-১৯ ও হৃদরোগীদের ঝুঁকি,Covid-19 and risks for heart patients
xx_53,bn,en,,,করোনা ভাইরাস: করণীয় ও বর্জনীয়,Corna virus: things to do and avoide
xx_54,bn,en,,,করোনা ভাইরাস-সর্বশেষ খবর,Corna virus-latest news
xx_55,bn,en,,,করোনা ভাইরাস ঝুঁকিতে বাংলাদেশ,Bangladesh is at risk of Corona virus
xx_56,bn,en,,,"করোনা ভাইরাস: উৎপত্তি, প্রতিকার","Corona virus: origin, treatments"
xx_57,bn,en,,,করোনা ভাইরাস পরীক্ষার পদ্ধতি,Corona virus testing methods
xx_58,bn,en,,,করোনা ভাইরাস কি,What is Corona virus
xx_59,bn,en,,,করোনা ভাইরাস প্রতিরোধে নিরাপদ দূরত্ব,Keeping safe distance to prevent Corona virus
xx_60,bn,en,,,নভেল করোনাভাইরাস ২০১৯,Novel Coronavirus 2019
xx_61,bn,en,,,জাতীয় কোভিড-১৯ চিকিৎসা ব্যবস্থাপনা,National Covid-19 treatment management
xx_62,bn,en,,,করোনা ভাইরাস প্রতিরোধে করণীয়,Things to do to prevent Corona virus
xx_63,bn,en,,,২০১৯ এন-করোনা ভাইরাস,2019-N-Corona virus
xx_64,bn,en,,,করোনা ভাইরাস ( কোভিড-১৯),Corona virus (Covid-19)
xx_65,bn,en,,,করোনা ভাইরাস রোগ,Corona virus disease
xx_66,bn,en,,,করোনা সংক্রমণ,Corona infections
xx_67,bn,en,,,করোনা আতঙ্ক,Corona fears
xx_68,bn,en,,,করোনা মাস্ক,Corona masks
xx_69,bn,en,,,হাসপাতালে কোভিড -১৯,Covid-19 at hospitals
xx_70,bn,en,,,করোনা পরিস্থিতি মোকাবিলায়,To deal with Corona situations
xx_71,bn,en,,,নভেল করোনাভাইরাস ২০১৯,Novel Coronavirus 2019
xx_72,bn,en,,,জাতীয় কোভিড-১৯ চিকিৎসা ব্যবস্থাপনা,National Covid-19 treatment management
xx_73,bn,en,,,করোনা নিয়ন্ত্রণের,of controlling Corona
xx_74,bn,en,,,করোনা জীবানুমুক্তকরন,Disinfecting coronavirus
xx_75,bn,en,,,করোনা রোগে‍ মৃতব্যক্তির,of the person who died from Corona
xx_76,bn,en,,,কোভিড-১৯ প্রাদুর্ভাবের সময় প্রতিবন্ধীদের,of the disabled people during the Corona Pandemic
xx_77,bn,en,,,করোনা হাসপাতাল বর্জ্য,Corona hospital waste
xx_78,bn,en,,,করোনা বিমানবন্দর বর্জ্য ব্যবস্থাপনা,Corona airport waste management
xx_79,bn,en,,,করোনা মোকাবেলায় জীবানুনাশক দ্রবণ,disinfecting solutions to deal with Corona
xx_80,bn,en,,,বিশ্বজুড়ে করোনা প্রতিরোধে গর্ভবতী,Preventing Corona worldwide and pregnant women
xx_81,bn,en,,,করোনা ) সংক্রান্ত কুসংষ্কার দূরীকরণ,Getting rid of superstitions in relation to Corona
xx_82,bn,en,,,করোনা কেইস ডেফিনেশন,Corona virus definition
xx_83,bn,en,,,কোভিড-১৯ এবং সামজিক কুসংস্কার,Covid-19 and social superstitions
xx_84,bn,en,,,করোনার সম্ভাব্যতা যাচাই,feasibility study of Corona
xx_85,bn,en,,,করোনা ভাইরাস রোগ,Corona virus disease
xx_86,bn,en,,,করোনা ভাইরাস প্রতিরোধে করণীয়,Things to do to prevent Corona virus
xx_87,bn,en,,,করোনা ভাইরাস প্রতিরোধে হাত,Hands to prevent Corona virus
xx_88,bn,en,,,কোভিড-১৯ আক্রান্ত সন্দেহভাজন?,Covid-19 infection suspected?
xx_89,bn,en,,,কোয়ারেন্টাইন ও আইসোলেসন কি?,What are quarantine and isolation?
xx_90,bn,en,,,হোম কোয়ারেন্টাইন কি?,What is home quarantine
xx_91,bn,en,,,কোভিড-১৯ নিয়ন্ত্রণে আইনের প্রয়োগ,Law enforcement in order to control Covid-19
xx_92,bn,en,,,স্বাস্থ্যসেবা প্রতিষ্ঠানে কোভিড-১৯,Covid-19 at healthcare services
xx_93,bn,en,,,করোনা সংকট: বাড়িতে থাকা,Corona crisis: staying at home
xx_94,bn,en,,,কোভিড-১৯ প্রতিরোধে কার্যক্রম,Covid-19 prevention programs
xx_95,bn,en,,,করোনার পরীক্ষার কিট আবিষ্কার,Corona test kits invented
xx_96,bn,en,,,বিশ্ব অর্থনীতিতে করোনা,Corona to the world economy
xx_97,bn,en,,,নিরাপত্তা নিশ্চিতে,to ensure safety
xx_98,bn,en,,,করোনার ধাক্কা,Corona shocks
xx_99,bn,en,,,করোনা আতঙ্কে,Corona fears
xx_100,bn,en,,,করোনা ভাইরাস (কোভিড-১৯) প্রতিরোধে,To prevent Corona virus (Covid-19)
xx_101,cs,en,,,epidemiologická situace,epidemiological situation
xx_102,cs,en,,,akutní respirační syndrom,acute respiratory syndrome
xx_103,cs,en,,,izolace,isolation
xx_104,cs,en,,,specifická léčba,specific treatment
xx_105,cs,en,,,algoritmus testování,algorithm for testing
xx_106,cs,en,,,imunochromatografická reakce,immunochromatographic reaction
xx_107,cs,en,,,remdesivir,remdesivir
xx_108,cs,en,,,extrakorporální membránová oxygenace (ECMO),extracorporeal membrane oxygenation (ECMO)
xx_109,cs,en,,,nesteroidní protizánětlivé léky,nonsteroidal anti-inflammatory drugs
xx_110,cs,en,,,neinvazivní ventilační podpora,non-invasive ventilation support
xx_111,cs,en,,,nouzový stav,state of emergency
xx_112,cs,en,,,volný pohyb osob,free movement of people
xx_113,cs,en,,,ochranná rouška,protective mask
xx_114,cs,en,,,vycestování,travelling abroad
xx_115,cs,en,,,trasování,tracing
xx_116,cs,en,,,chytrá karanténa,smart quarantine
xx_117,cs,en,,,ochrana vnitřních hranic,protection of internal borders
xx_118,cs,en,,,zákaz školní docházky,prohibition on school attendance
xx_119,cs,en,,,mimořádná opatření,emergency measures
xx_120,cs,en,,,pandemický plán,pandemic plan
xx_121,cs,en,,,promořenost,immunity rate
xx_122,cs,en,,,míra nakažlivosti,communicability rate
xx_123,cs,en,,,kurzarbeit,short time
xx_124,cs,en,,,počet nakažených,the number of infected people
xx_125,cs,en,,,vrchol pandemie,the peak pandemic period
xx_126,cs,en,,,živnostenská podpora,the economic aid package for the self-employed
xx_127,cs,en,,,krizový štáb,task force
xx_128,cs,en,,,karanténa,quarantine
xx_129,cs,en,,,kontroly na hranicích,border checks
xx_130,cs,en,,,počet provedených testů,the number of tests performed
xx_131,cs,en,,,suchý kašel,dry cough
xx_132,cs,en,,,dezinfekce,disinfection
xx_133,cs,en,,,bezpečný pozdrav,safe greetings
xx_134,cs,en,,,používání ústní roušky,the use of a face mask
xx_135,cs,en,,,chronicky nemocní,the chronically ill
xx_136,cs,en,,,doporučení pro domácí karanténu,recommendations for home quarantine
xx_137,cs,en,,,nošení brýlí,wearing glasses
xx_138,cs,en,,,psychické potíže,mental health problems
xx_139,cs,en,,,dekontaminace nákupních vozíků,decontamination of shopping trolleys
xx_140,cs,en,,,dezinfekce domácnosti,household disinfection
xx_141,cs,en,,,rizikové země,at-risk countries
xx_142,cs,en,,,omezení cestování,travel restrictions
xx_143,cs,en,,,pozastavení provozu letů,suspension of flight operations
xx_144,cs,en,,,zákaz vycestování,prohibition on travel abroad
xx_145,cs,en,,,změna zájezdu,change to a package tour
xx_146,cs,en,,,zahraniční turistika,foreign tourism
xx_147,cs,en,,,cestování za prací,commuting
xx_148,cs,en,,,repatriační let,repatriation flight
xx_149,cs,en,,,dopad na cestovní ruch,impact on the travel industry
xx_150,cs,en,,,přeshraniční pracovník,cross-border worker
xx_151,da,en,,,Hvor dødelig er coronavirus?,How lethal is the coronavirus?
xx_152,da,en,,,Zoonotisk virus,Zoonotic virus
xx_153,da,en,,,Kappeklædte RNA-virus,Enveloped RNA-virus
xx_154,da,en,,,Hvad er COVID-19?,What is COVID-19?
xx_155,da,en,,,Overførsel af smitte,Transfer of infection
xx_156,da,en,,,Smittespredning,Spread of infection
xx_157,da,en,,,Udfladning af kurven,Flattening the curve
xx_158,da,en,,,Karantæneramt på grund af coronavirus,Quarantined because of coronavirus
xx_159,da,en,,,Blive testet for coronavirus,Become tested for coronavirus
xx_160,da,en,,,Hotline om coronavirus,Hotline for coronavirus
xx_161,da,en,,,Om coronavirus/covid-19,About coronavirus/covid-19
xx_162,da,en,,,Fokus på udsatte grupper,Focus on exposed groups
xx_163,da,en,,,Nedlukning af Danmark,Closing down of Denmark
xx_164,da,en,,,Genåbning efter corona,Reopening after corona
xx_165,da,en,,,Hvis du har corona-symptomer,If you have corona-symptoms
xx_166,da,en,,,Myndighedernes anbefalinger,Recommendations of the authorities
xx_167,da,en,,,Styrelsen for patientsikkerhed,The Agency for patient safety
xx_168,da,en,,,Sådan kan covid-19 udvikle sig,This is how covid-19 can develop
